name,family,V,E,vars,density,nroots,nuniq,maxcond,ipa_struct_ms,ipa_prop_ms,ipa_ops,worst_delta,naive_status,naive_nodes,naive_ms,sift_nodes,sift_ms
random_n12_p01_s7,random-n12,12,19,31,0.2879,5,14,5,0.198,0.479,59,5.551e-17,ok,1729,34.0,321,41.0
random_n12_p01_s8,random-n12,12,17,29,0.2576,4,7,3,0.100,0.164,20,2.776e-17,ok,1450,35.0,112,36.0
random_n12_p02_s1,random-n12,12,20,32,0.3030,4,9,3,0.130,0.220,26,2.776e-17,ok,1148,46.0,204,44.0
random_n12_p02_s2,random-n12,12,21,33,0.3182,4,17,5,0.211,0.462,64,5.551e-17,ok,1394,44.0,184,43.0
random_n12_p02_s3,random-n12,12,28,40,0.4242,7,23,7,0.317,1.098,130,5.551e-17,ok,5995,42.0,693,53.0
random_n12_p02_s4,random-n12,12,20,32,0.3030,5,9,4,0.128,0.242,31,5.551e-17,ok,1663,43.0,278,50.0
random_n12_p02_s5,random-n12,12,18,30,0.2727,5,12,4,0.167,0.302,37,2.776e-17,ok,1013,54.0,139,41.0
random_n12_p02_s6,random-n12,12,26,38,0.3939,5,18,7,0.274,0.856,101,5.551e-17,ok,3544,39.0,454,53.0
random_n12_p02_s7,random-n12,12,21,33,0.3182,5,21,6,0.301,0.943,128,5.551e-17,ok,2842,44.0,420,45.0
random_n12_p02_s8,random-n12,12,21,33,0.3182,5,19,5,0.283,0.944,90,2.776e-17,ok,2552,37.0,489,38.0
random_n15_p015_s1,random-n15,15,25,40,0.2381,5,19,6,0.320,0.934,82,2.776e-17,ok,6869,35.0,358,41.0
random_n15_p015_s2,random-n15,15,27,42,0.2571,6,29,7,0.493,2.176,237,5.551e-17,ok,5180,34.0,600,42.0
random_n15_p015_s3,random-n15,15,27,42,0.2571,9,33,5,0.477,1.174,153,8.327e-17,ok,9050,35.0,600,42.0
random_n15_p015_s4,random-n15,15,23,38,0.2190,5,11,4,0.193,0.394,38,5.551e-17,ok,3282,35.0,250,36.0
random_n15_p015_s5,random-n15,15,23,38,0.2190,4,10,5,0.155,0.330,36,2.776e-17,ok,3417,34.0,300,37.0
random_n15_p015_s6,random-n15,15,29,44,0.2762,7,24,6,0.385,0.851,93,5.551e-17,ok,8045,34.0,642,43.0
random_n15_p015_s7,random-n15,15,24,39,0.2286,7,25,4,0.404,1.154,117,5.551e-17,ok,4656,34.0,430,41.0
random_n15_p015_s8,random-n15,15,28,43,0.2667,7,19,6,0.323,0.847,79,8.327e-17,ok,8604,35.0,402,41.0
random_n15_p01_s1,random-n15,15,23,38,0.2190,4,13,4,0.227,0.422,42,8.327e-17,ok,4297,36.0,340,41.0
random_n15_p01_s2,random-n15,15,21,36,0.2000,4,10,3,0.170,0.289,33,5.551e-17,ok,2365,35.0,223,37.0
random_n15_p01_s3,random-n15,15,24,39,0.2286,8,27,5,0.416,0.835,96,5.551e-17,ok,2064,34.0,431,38.0
random_n15_p01_s4,random-n15,15,22,37,0.2095,6,9,3,0.141,0.217,24,5.551e-17,ok,1780,37.0,176,41.0
random_n15_p01_s5,random-n15,15,21,36,0.2000,3,7,4,0.121,0.274,23,5.551e-17,ok,1631,39.0,397,44.0
random_n15_p01_s6,random-n15,15,24,39,0.2286,5,17,6,0.266,0.598,61,1.110e-16,ok,3760,41.0,403,48.0
random_n15_p01_s7,random-n15,15,23,38,0.2190,5,15,4,0.244,0.577,49,5.551e-17,ok,3395,40.0,468,43.0
random_n15_p01_s8,random-n15,15,25,40,0.2381,6,17,5,0.263,0.597,61,5.551e-17,ok,5189,40.0,473,48.0
random_n15_p02_s1,random-n15,15,30,45,0.2857,7,30,8,0.526,2.570,243,2.776e-17,ok,16004,39.0,522,50.0
random_n15_p02_s2,random-n15,15,31,46,0.2952,6,30,7,0.632,2.417,214,5.551e-17,ok,8950,42.0,872,56.0
random_n15_p02_s3,random-n15,15,35,50,0.3333,11,43,7,4.325,2.112,245,5.551e-17,ok,27930,43.0,1092,55.0
random_n15_p02_s4,random-n15,15,28,43,0.2667,7,23,7,0.390,2.600,172,5.551e-17,ok,10292,39.0,564,47.0
random_n15_p02_s5,random-n15,15,25,40,0.2381,5,11,5,0.173,0.392,33,2.776e-17,ok,5477,38.0,220,47.0
random_n15_p02_s6,random-n15,15,33,48,0.3143,8,29,6,0.509,1.054,121,5.551e-17,ok,12752,35.0,750,43.0
