name,V,E,vars,naive_status,naive_nodes,naive_ms,sift_status,sift_nodes,sift_ms
random_n20_p01_s5,20,32,52,ok,49539,42.0,ok,319,48.0
random_n20_p01_s6,20,31,51,ok,8667,39.0,ok,504,48.0
random_n20_p01_s7,20,36,56,ok,56757,44.0,ok,994,56.0
random_n20_p01_s8,20,38,58,ok,80365,49.0,ok,1377,69.0
random_n20_p015_s1,20,42,62,ok,145763,53.0,ok,1997,80.0
random_n20_p015_s2,20,41,61,ok,139967,52.0,ok,1762,63.0
random_n20_p015_s3,20,41,61,ok,67315,41.0,ok,648,53.0
random_n20_p015_s4,20,38,58,ok,77160,42.0,ok,1539,63.0
random_n20_p015_s5,20,33,53,ok,56950,39.0,ok,254,43.0
random_n20_p015_s6,20,38,58,ok,61194,41.0,ok,933,56.0
random_n20_p015_s7,20,39,59,ok,103636,50.0,ok,882,64.0
random_n20_p015_s8,20,43,63,ok,94242,52.0,ok,1096,61.0
random_n20_p02_s1,20,49,69,ok,455465,141.0,ok,1978,87.0
random_n20_p02_s2,20,47,67,ok,158794,57.0,ok,2019,66.0
random_n20_p02_s3,20,50,70,ok,387114,115.0,ok,1540,68.0
random_n20_p02_s4,20,48,68,ok,388128,115.0,ok,1315,70.0
random_n20_p02_s5,20,40,60,ok,85724,48.0,ok,1231,57.0
random_n20_p02_s6,20,44,64,ok,131423,55.0,ok,1431,61.0
random_n20_p02_s7,20,44,64,ok,112980,48.0,ok,2849,82.0
random_n20_p02_s8,20,49,69,ok,169531,58.0,ok,2326,75.0
random_n25_p01_s1,25,47,72,ok,421985,120.0,ok,4594,117.0
random_n25_p01_s2,25,44,69,ok,187046,59.0,ok,1228,60.0
random_n25_p01_s3,25,51,76,ok,672278,218.0,ok,1685,82.0
random_n25_p01_s4,25,43,68,ok,240224,82.0,ok,1116,63.0
random_n25_p01_s5,25,44,69,ok,303827,103.0,ok,1233,64.0
random_n25_p01_s6,25,42,67,ok,67613,41.0,ok,630,52.0
random_n25_p01_s7,25,44,69,ok,198420,63.0,ok,1476,72.0
random_n25_p01_s8,25,48,73,ok,529787,169.0,ok,1584,74.0
random_n25_p015_s1,25,58,83,blowup,2818118,1302.0,ok,3255,121.0
random_n25_p015_s2,25,56,81,ok,555728,178.0,ok,1807,78.0
random_n25_p015_s3,25,58,83,ok,2083162,928.0,ok,2429,123.0
random_n25_p015_s4,25,53,78,ok,350770,117.0,ok,4327,166.0
random_n25_p015_s5,25,46,71,ok,271194,99.0,ok,1234,67.0
random_n25_p015_s6,25,52,77,ok,682948,269.0,ok,1955,80.0
random_n25_p015_s7,25,51,76,ok,486433,163.0,ok,2983,100.0
random_n25_p015_s8,25,61,86,blowup,3267894,1428.0,ok,3487,120.0
random_n25_p02_s1,25,72,97,blowup,16471649,8865.0,ok,10002,249.0
random_n25_p02_s2,25,69,94,blowup,8847999,4713.0,ok,5239,264.0
random_n25_p02_s3,25,73,98,blowup,14515984,7790.0,ok,10956,337.0
random_n25_p02_s4,25,62,87,blowup,2744252,1241.0,ok,6859,151.0
random_n25_p02_s5,25,59,84,blowup,2896082,1219.0,ok,3663,127.0
random_n25_p02_s6,25,67,92,blowup,13169583,7755.0,ok,3494,166.0
random_n25_p02_s7,25,58,83,ok,2024783,762.0,ok,6462,177.0
random_n25_p02_s8,25,72,97,blowup,19944408,10523.0,ok,20323,555.0
# SUMMARY graphs=131 node_cap=2500000 naive_blowups=15 sift_blowups=0 peak_rss=1666MB
